GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037199300,1292,3.14
1400000U,6037199400,1495,2.98
1400000U,6037199700,1246,2.41
1400000U,6037199801,910,4.11
1400000U,6037199802,601,3.43
1400000U,6037199900,861,2.72
1400000U,6037201110,767,3.04
1400000U,6037201120,1281,3.07
1400000U,6037201200,753,3.6
1400000U,6037201301,1077,3.05
1400000U,6037201302,1870,2.14
1400000U,6037201401,1302,3.55
1400000U,6037201402,1501,2.96
1400000U,6037201501,1515,3.66
1400000U,6037201503,992,3.29
1400000U,6037201504,624,3.49
1400000U,6037201601,691,3.38
1400000U,6037201602,735,3.47
1400000U,6037201700,1449,2.69
1400000U,6037203100,1257,3.46
1400000U,6037203200,1321,4.1
1400000U,6037203300,471,2.51
1400000U,6037203500,973,2.95
1400000U,6037203601,818,3.2
1400000U,6037203602,580,3.58
1400000U,6037203710,805,4.28
1400000U,6037203720,1018,3.82
1400000U,6037203800,1245,3.8
1400000U,6037203900,687,4.56
1400000U,6037204110,853,3.63
1400000U,6037204120,699,3.71
1400000U,6037204200,1039,3.3
1400000U,6037204300,1374,3.77
1400000U,6037204410,690,3.79
1400000U,6037204420,847,3.41
1400000U,6037204600,1148,3.58
1400000U,6037204700,1231,3.93
1400000U,6037204810,1364,3.57
1400000U,6037204820,544,4.07
1400000U,6037204910,953,3.17
1400000U,6037204920,687,3.8
1400000U,6037205110,856,4.03
1400000U,6037205120,904,4.02
1400000U,6037206010,1508,2.45
1400000U,6037206020,251,1.74
1400000U,6037206050,768,2.82
1400000U,6037206051,882,1.5
1400000U,6037206052,1790,1.76
1400000U,6037206053,1152,2.46
1400000U,6037206054,625,3.84
1400000U,6037206201,1189,1.53
1400000U,6037206202,1222,1.43
1400000U,6037206301,1142,1.07
1400000U,6037206302,651,1.09
1400000U,6037206303,558,1.04
1400000U,6037207101,1660,2.33
1400000U,6037207102,1499,2.12
1400000U,6037207103,896,2.25
1400000U,6037207303,1832,1.3
1400000U,6037207304,1614,1.39
1400000U,6037207305,634,1.24
1400000U,6037207306,1512,1.22
1400000U,6037207307,1131,1.17
1400000U,6037207308,770,1.65
1400000U,6037207400,763,1.95
1400000U,6037207501,1243,1.6
1400000U,6037207502,2463,1.36
1400000U,6037207711,1574,1.33
1400000U,6037207712,2972,1.47
1400000U,6037207901,2217,1.45
1400000U,6037207902,4519,1.6
1400000U,6037208001,1180,2.08
1400000U,6037208002,1300,3.19
1400000U,6037208301,588,3.24
1400000U,6037208302,1743,2.73
1400000U,6037208401,1386,2.95
1400000U,6037208402,848,3.21
1400000U,6037208501,870,2.94
1400000U,6037208502,1463,2.85
1400000U,6037208610,1491,2.75
1400000U,6037208620,1591,2.44
1400000U,6037208710,2128,2.23
1400000U,6037208720,1526,2.57
1400000U,6037208801,1380,2.32
1400000U,6037208802,1408,1.93
1400000U,6037208902,683,3.36
1400000U,6037208903,1132,3.32
1400000U,6037208904,1349,2.75
1400000U,6037209103,1105,3.3
1400000U,6037209104,948,2.51
1400000U,6037209105,1049,3.08
1400000U,6037209106,1273,1.98
1400000U,6037209201,1863,1.61
1400000U,6037209202,556,2.66
1400000U,6037209300,2209,2.14
